"municipio";"state";"anos_recebendo_royalties";"valor_acumulado_defl_2020";"media_anual_defl_2020";"obitos_100_mil_ha";"class_obit_100_mil_ha"
"Novo Repartimento";"PA";11;440445699,1;40040518,1;126,919988603103;"Médio Baixo"
"Porto Velho";"RO";7;312783892,72;44683413,25;463,702874179111;"Muito Alto"
"Tucuruí";"PA";11;184958015,02;16814365;217,119433057736;"Médio Alto"
"Goianésia do Pará";"PA";11;167718173,34;15247106,67;75,4606752513327;"Baixo"
"Jacundá";"PA";11;99840548,44;9076413,49;116,974700043448;"Baixo"
"Breu Branco";"PA";11;73158389,55;6650762,69;68,3181845185053;"Baixo"
"Porto Nacional";"TO";11;53012120,35;4819283,67;373,246305049141;"Muito Alto"
"Itiquira";"MT";11;48240040,85;4385458,26;118,063754427391;"Médio Baixo"
"Itupiranga";"PA";11;43111361,06;3919214,64;138,693655702371;"Médio Baixo"
"Altamira";"PA";3;39858298,5;13286099,5;259,552121687692;"Médio Alto"
"Paranaíta";"MT";3;39791100,83;13263700,28;284,596229099964;"Alto"
"Paranã";"TO";11;39070024,85;3551820,44;76,6503784612436;"Baixo"
"Vitória do Xingu";"PA";3;38552538,7;12850846,23;170,16820472544;"Médio Baixo"
"Presidente Figueiredo";"AM";11;36349593,33;3304508,48;274,245153657946;"Alto"
"Nova Ipixuna";"PA";11;33623117,81;3056647,07;130,532811202089;"Médio Baixo"
"Ferreira Gomes";"AP";11;30147607,88;2740691,63;75,3106564578888;"Baixo"
"Palmas";"TO";11;26921970,26;2447451,84;198,827278188419;"Médio Alto"
"Carolina";"MA";8;23370120,13;2921265,02;99,3171942892613;"Baixo"
"Aripuanã";"MT";7;21914663,25;3130666,18;206,920841771595;"Médio Alto"
"Chapada dos Guimarães";"MT";11;20291978,5;1844725,32;416,388217755616;"Muito Alto"
