"muni";"codufmun";"estab_2008";"estab_2018";"estab_saldo";"leitos_2008";"leitos_2018";"leitos_saldo";"medic_2008";"medic_2018";"medic_saldo"
"Presidente Figueiredo (AM)";"130353";2;1;-1;122;88;-34;200,204129700872;158,406879384476;-41,7972503163954
"Ariquemes (RO)";"110002";3;6;3;87;135;48;101,677681748856;176,135935498455;74,4582537495991
"Porto Velho (RO)";"110020";11;16;5;228;262;34;316,468214723684;429,425770550747;112,957555827063
"Canaã dos Carajás (PA)";"150215";1;1;0;99;141;42;176,009183087813;260,748959778086;84,7397766902727
"Curionópolis (PA)";"150277";1;1;0;276;278;2;121,533532206386;133,22971022538;11,6961780189942
"Floresta do Araguaia (PA)";"150304";1;1;0;110;100;-10;38,6697602474865;64,7410358565737;26,0712756090872
"Ipixuna do Pará (PA)";"150345";1;2;1;80;123;43;32,8361009475561;48,0345849011288;15,1984839535728
"Itaituba (PA)";"150360";5;2;-3;199;95;-104;42,4458415088295;62,3163892103623;19,8705477015328
"Juruti (PA)";"150390";2;2;0;131;90;-41;71,1136395960745;84,3466647922963;13,2330251962218
"Marabá (PA)";"150420";5;5;0;124;99;-25;129,03483940664;143,954981351287;14,9201419446467
"Oriximiná (PA)";"150530";2;2;0;107;103;-4;115,987189474595;166,29711751663;50,3099280420344
"Paragominas (PA)";"150550";2;4;2;109;127;18;96,356266823071;144,948283883898;48,5920170608272
"Parauapebas (PA)";"150553";3;1;-2;82;59;-23;151,383785420365;171,035380171725;19,6515947513602
"São Félix do Xingu (PA)";"150730";2;3;1;125;75;-50;65,3971318686452;40,0759840657887;-25,3211478028565
"Terra Santa (PA)";"150797";1;1;0;132;113;-19;31,4762354422411;85,9337236156614;54,4574881734203
"Pedra Branca do Amapari (AP)";"160015";1;1;0;192;94;-98;153,846153846154;37,6624191827255;-116,183734663428
"Vitória do Jari (AP)";"160080";1;1;0;71;51;-20;71,0921532035902;64,0820249919897;-7,01012821160042
"Godofredo Viana (MA)";"210430";1;0;-1;471;0;-471;73,9166589670147;42,837559972584;-31,0790989944307
"Vila Bela da Santíssima Trindade (MT)";"510550";1;1;0;167;275;108;90,516641136332;143,90289682788;53,3862556915476
"Nobres (MT)";"510590";1;1;0;235;235;0;235,355648535565;195,592645716521;-39,7630028190438
