"cod_muni";"muni";"qtd_matriculas_2009";"qtd_escolas_2009";"populacao_2009";"matr_100_mil_2009";"escol_100_mil_2009";"qtd_matriculas_2018";"qtd_escolas_2018";"populacao_2018";"matr_100_mil_2018";"escol_100_mil_2018";"saldo_matr_100_mil_hab";"saldo_escola_100_mil_hab";"docentes_2009";"docentes_2018";"docentes_100_mil_hab_2009";"docentes_100_mil_hab_2018";"saldo_docentes_100_mil_hab"
1303536;"Presidente Figueiredo (AM)";10916;30;26282;41534;114;11876;32;35352;33594;91;-7940;-23;1484;2708;5646,45004185374;7660,10409594931;2013,65405409557
1600154;"Pedra Branca do Amapari (AP)";3209;25;8182;39220;306;4683;27;15931;29396;169;-9824;-137;466;834;5695,42899046688;5235,07626639885;-460,352724068033
1600808;"Vitória do Jari (AP)";5742;31;11519;49848;269;4986;27;15605;31951;173;-17897;-96;1002;966;8698,67175970136;6190,32361422621;-2508,34814547515
2104305;"Godofredo Viana (MA)";2781;20;11207;24815;178;2608;17;11672;22344;146;-2471;-32;363;488;3239,04702418132;4180,94585332419;941,898829142879
5105507;"Vila Bela da Santíssima Trindade (MT)";4472;27;14523;30793;186;4622;20;15983;28918;125;-1875;-61;894;883;6155,75294360669;5524,61990865294;-631,133034953748
5105903;"Nobres (MT)";4585;11;15315;29938;72;4170;12;15338;27187;78;-2751;6;995;916;6496,89846555664;5972,09544921111;-524,803016345535
1502152;"Canaã dos Carajás (PA)";9205;18;27675;33261;65;13960;24;36050;38724;67;5463;2;1681;2526;6074,07407407407;7006,93481276006;932,860738685982
1502772;"Curionópolis (PA)";6879;28;17944;38336;156;6470;21;18014;35917;117;-2419;-39;981;1352;5467,00847079804;7505,27367602975;2038,26520523172
1503044;"Floresta do Araguaia (PA)";5009;45;15629;32049;288;6360;24;20080;31673;120;-376;-168;755;1056;4830,76332458891;5258,96414342629;428,200818837389
1503457;"Ipixuna do Pará (PA)";9806;64;44396;22088;144;14855;70;62455;23785;112;1697;-32;1223;2390;2754,75268042166;3826,75526378993;1072,00258336827
1503606;"Itaituba (PA)";35233;156;127848;27559;122;34617;131;101097;34241;130;6682;8;4564;5936;3569,86421375383;5871,58867226525;2301,72445851142
1503903;"Juruti (PA)";19141;185;35530;53873;521;19936;125;56908;35032;220;-18841;-301;2601;3463;7320,57416267943;6085,26042032755;-1235,31374235188
1504208;"Marabá (PA)";68196;247;203049;33586;122;71766;227;275086;26089;83;-7497;-39;10299;12374;5072,17469674807;4498,22964454752;-573,945052200552
1505304;"Oriximiná (PA)";22551;99;58683;38429;169;28732;91;72160;39817;126;1388;-43;3471;4535;5914,8305301365;6284,64523281596;369,814702679469
1505502;"Paragominas (PA)";34300;102;97350;35234;105;32485;87;111764;29066;78;-6168;-27;5097;6304;5235,74730354391;5640,45667656848;404,70937302457
1505536;"Parauapebas (PA)";45684;67;152777;29902;44;60608;84;202882;29874;41;-28;-3;7685;11647;5030,20742651053;5740,77542610976;710,567999599224
1507300;"São Félix do Xingu (PA)";17039;131;67208;25353;195;19313;113;124763;15480;91;-9873;-104;1950;3276;2901,44030472563;2625,77847599048;-275,66182873515
1507979;"Terra Santa (PA)";5349;27;16004;33423;169;5388;27;18619;28938;145;-4485;-24;816;907;5098,72531867033;4871,36795746281;-227,357361207525
1100023;"Ariquemes (RO)";33293;36;85541;38921;42;22924;38;106168;21592;36;-17329;-6;5553;5579;6491,62389965046;5254,87905960365;-1236,74484004681
1100205;"Porto Velho (RO)";124483;229;382829;32517;60;114639;227;519531;22066;44;-10451;-16;21980;23106;5741,4668167772;4447,47281682902;-1293,99399994818
